3;238;106;23;26;249;119
3;6;96;28;27;20;109
4;298;162;21;45;308;184
4;189;123;35;19;206;132
4;237;111;22;21;248;121
4;1;92;23;33;12;108
5;305;162;14;36;312;180
5;188;117;33;19;204;126
5;1;106;19;20;10;116
5;235;102;24;26;247;115
6;288;157;31;35;303;174
6;209;56;15;31;216;71
7;281;152;38;35;300;169
7;185;114;34;18;202;123
7;230;106;23;18;241;115
7;205;51;34;33;222;67
8;267;149;49;32;291;165
8;214;48;33;19;230;57
9;269;143;40;33;289;159
9;193;99;19;25;202;111
9;228;94;23;25;239;106
9;32;79;25;28;44;93
10;270;141;35;31;287;156
10;208;50;27;31;221;65
11;265;140;34;28;282;154
11;186;88;29;33;200;104
11;209;52;25;30;221;67
12;260;133;34;39;277;152
12;185;95;23;23;196;106
12;21;85;25;23;33;96
12;225;83;32;31;241;98
13;256;128;32;32;272;144
13;17;84;27;24;30;96
13;184;83;40;34;204;100
13;172;77;21;20;182;87
13;205;51;32;25;221;63
14;252;123;34;33;269;139
14;13;92;26;20;26;102
15;296;200;23;34;307;217
15;248;121;33;31;264;136
15;12;91;21;18;22;100
15;186;88;19;24;195;100
16;285;193;34;39;302;212
16;251;128;20;20;261;138
16;13;92;22;19;24;101
16;180;72;29;28;194;86
16;224;48;22;19;235;57
17;267;178;52;44;293;200
17;235;113;39;31;254;128
17;2;87;34;29;19;101
17;223;79;21;26;233;92
17;177;70;37;39;195;89
17;222;38;33;27;238;51
18;229;44;32;20;245;54
19;265;174;36;41;283;194
19;7;99;25;17;19;107
20;262;163;37;44;280;185
20;1;90;28;26;15;103
20;176;62;21;21;186;72
20;221;45;36;28;239;59
21;228;215;41;24;248;227
21;261;155;29;43;275;176
21;1;88;59;31;30;103
21;181;63;43;27;202;76
22;205;204;55;35;232;221
22;251;156;34;38;268;175
22;1;95;19;24;10;107
22;44;86;18;25;53;98
22;178;63;60;34;208;80
23;177;216;18;20;186;226
23;205;215;61;24;235;227
23;247;151;33;36;263;169
23;236;102;19;26;245;115
23;1;96;17;26;9;109
23;180;43;82;56;221;71
24;283;156;36;44;301;178
24;238;146;37;33;256;162
25;171;198;20;28;181;212
25;192;195;58;44;221;217
25;248;140;22;20;259;150
25;230;102;23;22;241;113
25;176;56;49;39;200;75
25;232;44;22;18;243;53
26;168;179;77;41;206;199
26;292;145;27;41;305;165
26;236;134;28;34;250;151
27;189;174;50;54;214;201
27;286;143;33;43;302;164
27;233;132;27;33;246;148
27;186;56;19;20;195;66
27;203;54;39;39;222;73
28;165;167;49;30;189;182
28;284;142;25;36;296;160
28;226;130;32;31;242;145
29;213;175;21;29;223;189
29;182;160;32;49;198;184
29;273;138;36;34;291;155
29;223;126;33;32;239;142
29;212;67;25;22;224;78
29;188;57;22;30;199;72
30;194;167;35;31;211;182
30;267;131;37;36;285;149
30;227;123;25;35;239;140
30;6;87;34;36;23;105
30;190;48;41;29;210;62
31;179;151;47;45;202;173
31;261;128;32;36;277;146
31;224;118;28;30;238;133
31;193;50;49;38;217;69
32;160;145;60;38;190;164
32;223;114;24;32;235;130
32;258;111;37;47;276;134
32;1;95;35;31;18;110
32;193;53;47;35;216;70
33;174;151;43;24;195;163
33;255;121;28;32;269;137
33;219;112;24;29;231;126
33;223;53;23;32;234;69
34;171;148;42;24;192;160
34;250;116;31;36;265;134
34;218;110;24;29;230;124
34;1;97;24;32;13;113
34;191;43;51;40;216;63
35;179;145;30;23;194;156
35;247;122;30;23;262;133
35;213;109;27;33;226;125
35;1;94;26;37;14;112
35;194;47;57;25;222;59
36;170;131;26;36;183;149
36;244;112;32;30;260;127
36;214;106;24;27;226;119
36;1;95;25;37;13;113
36;190;44;66;40;223;64
37;174;127;17;34;182;144
37;211;101;24;29;223;115
37;1;98;26;36;14;116
37;200;44;57;39;228;63
38;167;138;23;18;178;147
38;211;109;19;19;220;118
38;239;107;31;29;254;121
38;1;96;22;38;12;115
38;191;47;58;35;220;64
39;165;119;36;34;183;136
39;237;104;28;28;251;118
39;1;95;18;44;10;117
39;204;89;29;38;218;108
39;38;78;28;22;52;89
39;201;43;63;37;232;61
40;206;46;47;38;229;65
41;238;99;16;28;246;113
41;208;92;21;30;218;107
41;200;48;47;29;223;62
42;231;97;27;28;244;111
42;206;92;21;27;216;105
42;29;83;32;18;45;92
42;204;49;40;27;224;62
43;166;101;29;37;180;119
43;204;96;20;21;214;106
43;228;92;37;30;246;107
43;24;81;38;22;43;92
43;220;74;22;20;231;84
43;203;48;51;27;228;61
44;164;103;23;27;175;116
44;206;89;19;24;215;101
44;22;82;38;22;41;93
44;200;47;55;40;227;67
45;169;99;17;28;177;113
45;32;80;26;29;45;94
45;203;73;42;43;224;94
45;208;43;57;31;236;58
46;16;83;47;27;39;96
46;205;46;56;30;233;61
47;164;91;23;29;175;105
47;14;81;43;32;35;97
47;202;44;54;67;229;77
48;19;86;35;26;36;99
48;208;40;51;39;233;59
