2;181;92;37;37;199;110
4;205;131;21;21;215;141
4;188;160;24;24;200;172
5;185;56;20;20;195;66
5;188;156;20;20;198;166
6;199;124;22;22;210;135
7;186;54;21;21;196;64
7;199;124;22;22;210;135
7;258;126;26;26;271;139
8;188;52;22;22;199;63
9;188;51;21;21;198;61
9;195;118;22;22;206;129
9;255;120;24;24;267;132
11;191;50;22;22;202;61
11;246;112;28;28;260;126
12;192;49;22;22;203;60
13;245;112;21;21;255;122
13;241;140;57;57;269;168
13;133;150;60;60;163;180
15;145;153;36;36;163;171
16;197;48;20;20;207;58
17;141;139;39;39;160;158
19;194;175;43;43;215;196
21;139;128;35;35;156;145
25;180;143;29;29;194;157
31;246;164;21;21;256;174
33;210;98;22;22;221;109
34;209;101;37;37;227;119
35;131;84;39;39;150;103
36;172;74;20;20;182;84
37;209;201;34;34;226;218
37;133;81;37;37;151;99
39;166;102;22;22;177;113
39;198;182;34;34;215;199
40;235;171;22;22;246;182
42;193;166;23;23;204;177
46;186;150;21;21;196;160
46;203;52;22;22;214;63
46;190;174;41;41;210;194
48;174;135;28;28;188;149
49;175;134;23;23;186;145
50;203;128;22;22;214;139
51;153;70;22;22;164;81
52;170;77;21;21;180;87
52;171;123;21;21;181;133
