2;167;82;20;20;177;92
2;235;132;30;30;250;147
3;167;82;20;20;177;92
3;219;115;30;30;234;130
3;234;133;30;30;249;148
4;167;82;20;20;177;92
4;134;94;30;30;149;109
4;217;115;30;30;232;130
5;216;115;30;30;231;130
5;233;129;30;30;248;144
6;271;170;45;45;293;192
7;270;170;45;45;292;192
9;192;123;45;45;214;145
9;266;165;45;45;288;187
10;205;98;30;30;220;113
10;262;163;45;45;284;185
11;137;84;30;30;152;99
11;229;126;30;30;244;141
12;229;125;30;30;244;140
12;259;159;45;45;281;181
13;169;76;20;20;179;86
13;205;97;30;30;220;112
13;228;125;30;30;243;140
14;169;76;20;20;179;86
14;227;124;30;30;242;139
14;142;141;30;30;157;156
15;169;76;20;20;179;86
15;227;124;30;30;242;139
16;226;123;30;30;241;138
17;148;74;20;20;158;84
17;250;152;45;45;272;174
17;135;160;68;68;169;194
20;218;155;30;30;233;170
21;134;93;30;30;149;108
21;216;153;30;30;231;168
24;268;132;45;45;290;154
24;200;138;45;45;222;160
26;145;80;20;20;155;90
26;141;150;45;45;163;172
27;162;120;45;45;184;142
28;283;188;20;20;293;198
29;147;79;20;20;157;89
32;210;100;30;30;225;115
35;189;123;45;45;211;145
36;187;74;20;20;197;84
37;187;74;20;20;197;84
38;186;119;45;45;208;141
40;147;84;20;20;157;94
41;235;132;30;30;250;147
41;269;170;45;45;291;192
42;189;72;20;20;199;82
43;184;98;30;30;199;113
44;147;82;20;20;157;92
44;207;145;45;45;229;167
46;256;120;45;45;278;142
47;126;89;45;45;148;111
48;171;110;20;20;181;120
48;164;70;30;30;179;85
48;126;89;45;45;148;111
49;187;85;20;20;197;95
49;171;109;20;20;181;119
50;187;84;20;20;197;94
51;254;118;45;45;276;140
52;197;132;45;45;219;154
