3;150;104;39;39;169;123;
4;42;35;23;23;53;46;
4;142;95;41;41;162;115;
5;45;34;21;21;55;44;
5;136;89;41;41;156;109;
7;43;29;21;21;53;39;
8;42;27;22;22;53;38;
8;76;49;29;29;90;63;
9;73;44;30;30;88;59;
10;131;47;52;52;157;73;
12;44;19;22;22;55;30;
13;27;4;22;22;38;15;
13;9;15;38;38;28;34;
13;59;29;37;37;77;47;
15;11;10;37;37;29;28;
17;114;31;43;43;135;52;
18;46;10;21;21;56;20;
18;99;52;20;20;109;62;
20;46;7;21;21;56;17;
21;46;6;21;21;56;16;
23;153;74;22;22;164;85;
24;98;86;22;22;109;97;
26;102;118;22;22;113;129;
30;131;52;22;22;142;63;
31;65;5;21;21;75;15;
31;129;50;20;20;139;60;
33;76;51;21;21;86;61;
33;74;77;22;22;85;88;
33;11;75;63;63;42;106;
34;74;48;21;21;84;58;
34;18;81;42;42;39;102;
35;15;77;42;42;36;98;
36;72;42;21;21;82;52;
38;79;9;21;21;89;19;
46;48;43;26;26;61;56;
46;7;32;37;37;25;50;
49;6;24;39;39;25;43;
50;45;33;27;27;58;46;
51;49;35;21;21;59;45;
51;12;23;32;32;28;39;
