2;357;274;41;17;199;145
3;352;268;41;17;196;142
3;313;205;26;10;169;107
4;348;262;40;17;194;139
4;311;202;26;10;168;106
5;475;363;23;11;249;187
5;343;255;38;15;190;135
5;309;198;25;10;167;104
6;458;345;17;10;237;177
6;338;248;36;15;187;131
6;308;194;24;9;166;101
7;414;352;31;22;222;187
7;334;241;34;14;184;127
7;306;190;23;9;164;99
8;401;336;42;25;221;180
8;329;235;33;13;181;124
9;390;324;51;24;220;174
9;326;229;31;12;178;120
10;381;312;49;22;215;167
10;323;223;29;12;176;117
11;373;301;45;21;209;161
11;320;217;26;12;173;114
12;366;291;42;19;204;155
12;377;287;24;13;200;150
12;317;212;25;11;171;111
12;304;104;24;11;164;57
13;359;281;39;18;199;149
13;314;207;24;11;169;109
13;304;104;24;11;164;57
14;347;354;17;20;182;187
14;370;352;20;10;195;181
14;352;272;39;17;195;144
14;305;103;24;11;164;57
15;336;339;58;30;197;184
15;346;264;38;15;192;139
15;307;102;23;11;165;56
16;328;325;54;29;191;177
16;341;256;36;15;188;135
16;309;101;22;11;165;56
17;319;313;52;25;185;169
17;337;250;33;13;185;131
18;313;301;49;23;181;162
18;482;290;17;16;249;153
19;308;290;45;21;176;155
19;472;281;27;17;249;149
20;302;279;44;20;173;149
20;463;273;36;16;249;144
21;455;266;37;15;246;140
21;297;262;42;26;169;144
22;240;347;56;27;148;187
22;447;259;35;14;241;136
22;293;254;40;24;166;139
23;233;330;58;40;145;185
23;440;252;33;13;236;132
23;289;247;39;21;164;134
24;228;314;57;39;142;176
24;433;246;31;12;232;129
24;287;244;35;16;161;130
25;226;300;53;36;139;168
25;283;237;35;14;159;125
25;13;179;19;19;16;99
26;223;287;50;34;136;160
26;281;230;33;14;157;122
26;9;185;19;16;14;100
27;223;275;46;32;134;153
27;279;224;31;13;155;118
27;5;189;13;14;9;101
28;223;263;43;31;133;147
28;277;217;29;13;153;115
29;221;254;43;28;132;141
29;275;210;29;13;152;111
30;219;251;43;21;131;136
30;273;206;28;11;150;108
31;219;249;40;13;129;131
32;271;195;25;11;148;103
33;478;298;21;64;249;181
33;271;195;25;11;148;103
34;452;346;27;16;239;181
34;466;283;33;76;249;179
34;270;186;22;10;146;98
35;440;333;59;41;249;187
35;455;272;44;78;249;175
35;270;186;23;10;146;98
36;431;321;68;50;249;185
36;269;182;22;10;145;96
37;421;308;78;50;249;179
37;269;178;21;9;145;93
38;412;298;87;48;249;173
38;269;174;20;9;144;91
39;405;288;90;45;247;166
39;268;170;20;9;144;89
40;398;279;86;43;242;161
40;268;167;19;9;143;88
41;391;271;82;40;236;155
41;268;163;19;9;143;86
42;385;263;78;37;231;150
42;396;221;70;54;233;137
43;377;255;76;36;226;145
43;391;213;65;52;228;132
43;82;123;18;12;50;67
44;371;248;74;34;222;141
44;386;208;62;49;224;128
44;80;123;20;14;50;68
45;367;242;71;32;219;137
45;382;203;64;46;223;124
45;73;124;26;16;49;70
46;363;236;67;30;215;133
46;379;197;58;45;218;121
46;69;125;29;17;49;71
47;359;229;64;30;211;129
47;378;192;52;44;215;118
47;64;127;30;16;47;71
48;355;224;62;28;208;126
48;372;188;50;41;211;114
48;59;128;33;16;46;72
49;354;224;52;21;203;122
49;369;183;50;47;209;115
49;54;128;34;17;44;72
50;352;218;50;21;201;119
50;365;178;48;45;206;111
50;50;129;34;17;42;73
51;349;213;57;26;203;119
51;361;174;47;44;204;109
51;45;130;35;17;40;73
52;267;354;44;16;155;185
52;337;352;51;22;194;187
52;346;209;55;24;200;116
52;358;170;45;42;201;106
52;40;131;36;18;38;74
