2;188;115;52;57;214;143
2;182;86;27;26;195;99
2;175;65;23;20;186;75
2;212;43;33;27;228;56
3;259;162;45;41;281;182
3;189;109;47;57;212;137
3;182;85;21;25;192;97
4;257;155;37;41;275;175
4;195;127;38;34;214;144
4;144;79;21;25;154;91
4;167;61;38;46;186;84
4;203;44;52;35;229;61
5;248;155;43;36;269;173
5;182;90;47;67;205;123
6;243;150;42;33;264;166
6;192;120;34;33;209;136
6;181;89;29;38;195;108
6;217;40;62;28;248;54
7;238;145;42;33;259;161
7;192;117;33;32;208;133
7;174;59;47;32;197;75
7;220;44;35;24;237;56
7;257;33;27;31;270;48
8;235;140;36;33;253;156
8;186;96;37;49;204;120
8;226;90;26;28;239;104
8;189;42;88;53;233;68
9;235;138;37;31;253;153
9;183;103;37;38;201;122
9;148;74;19;24;157;86
9;171;62;27;14;184;69
9;201;54;22;18;212;63
9;221;43;32;24;237;55
9;257;37;22;22;268;48
10;235;132;33;33;251;148
10;186;95;29;45;200;117
10;185;44;73;46;221;67
11;301;197;18;42;310;218
11;218;126;45;37;240;144
11;185;75;25;62;197;106
11;189;41;66;33;222;57
12;228;124;30;31;243;139
12;186;112;27;21;199;122
12;32;80;19;28;41;94
12;178;43;99;53;227;69
13;282;187;37;52;300;213
13;226;122;29;32;240;138
13;9;89;19;19;18;98
13;173;47;73;67;209;80
14;270;179;49;47;294;202
14;229;121;24;29;241;135
14;155;47;99;43;204;68
14;259;41;26;22;272;52
15;269;173;47;45;292;195
15;227;118;23;30;238;133
16;263;164;41;46;283;187
16;225;115;23;28;236;129
16;156;66;30;21;171;76
16;186;57;26;31;199;72
16;231;44;26;22;244;55
17;258;161;47;45;281;183
17;223;116;20;24;233;128
17;157;60;45;41;179;80
17;197;43;59;35;226;60
18;253;154;43;42;274;175
18;218;111;21;25;228;123
18;2;87;41;29;22;101
18;158;58;54;63;185;89
18;208;45;52;22;234;56
19;297;156;22;23;308;167
19;250;149;41;41;270;169
19;18;88;24;24;30;100
19;159;56;50;45;184;78
19;216;42;46;27;239;55
20;291;154;28;45;305;176
20;240;145;43;48;261;169
