1;185;104;45;45;207;126;
2;182;98;48;48;206;122;
3;182;96;48;48;206;120;
4;235;104;22;22;246;115;
4;182;95;43;43;203;116;
5;234;102;22;22;245;113;
5;182;94;43;43;203;115;
6;234;100;21;21;244;110;
6;180;91;41;41;200;111;
7;166;75;24;24;178;87;
7;233;98;21;21;243;108;
9;180;86;39;39;199;105;
11;170;71;21;21;180;81;
16;174;65;21;21;184;75;
18;243;110;24;24;255;122;
21;239;106;21;21;249;116;
22;236;102;21;21;246;112;
23;236;101;21;21;246;111;
24;233;96;22;22;244;107;
26;193;172;39;39;212;191;
30;226;124;22;22;237;135;
33;225;83;21;21;235;93;
36;214;108;21;21;224;118;
39;242;106;22;22;253;117;
40;239;103;23;23;250;114;
43;201;54;21;21;211;64;
46;203;50;24;24;215;62;
47;286;29;21;21;296;39;
47;227;84;21;21;237;94;
