2;263;204;43;35;153;119;
2;210;198;32;41;121;119;
2;212;147;30;36;121;91;
2;166;82;30;40;98;61;
2;229;72;20;39;124;55;
2;216;41;66;29;141;35;
3;244;189;67;50;155;119;
3;189;181;48;50;118;115;
3;204;146;39;33;121;89;
3;222;93;27;20;124;56;
3;218;38;73;33;145;35;
4;247;185;48;45;147;115;
4;307;179;12;54;159;116;
4;186;178;41;39;113;108;
4;201;137;37;34;119;85;
4;214;45;41;27;127;36;
5;238;183;43;39;140;111;
5;295;178;24;61;159;119;
5;192;172;30;36;111;104;
5;197;132;36;34;116;83;
5;189;61;27;31;108;46;
5;214;39;68;30;141;34;
6;290;189;21;26;155;107;
6;299;187;20;46;159;116;
6;228;172;46;40;137;106;
6;298;166;21;19;159;92;
6;189;166;22;35;105;100;
6;197;142;35;20;116;81;
6;218;44;43;34;130;39;
7;275;183;26;26;150;104;
7;293;173;26;50;159;111;
7;228;166;42;42;135;104;
7;183;158;31;32;107;95;
7;194;128;31;28;112;78;
7;179;60;46;31;112;45;
7;219;44;44;25;131;34;
8;229;160;24;38;126;99;
8;185;156;25;28;105;92;
8;286;154;33;65;159;109;
8;193;121;29;31;111;76;
8;185;57;43;33;114;45;
8;221;44;32;22;126;33;
9;222;154;29;38;125;96;
9;278;150;39;57;158;103;
9;177;147;32;36;104;91;
9;191;118;27;30;109;74;
9;186;65;18;24;102;44;
9;219;43;39;31;129;37;
10;216;148;28;37;122;92;
10;177;144;29;34;103;89;
10;275;143;37;57;156;100;
10;190;114;28;31;109;72;
10;186;62;36;26;111;44;
10;224;45;34;26;129;35;
11;271;145;34;47;152;96;
11;206;143;36;38;121;90;
11;174;143;31;31;102;87;
11;189;108;27;32;108;70;
11;225;45;32;22;128;33;
12;253;139;48;49;150;94;
12;204;139;29;36;116;87;
12;171;108;44;60;107;84;
12;187;58;34;27;110;42;
12;224;46;34;23;129;34;
13;213;135;21;33;117;84;
13;259;132;38;49;148;90;
13;170;108;39;54;104;81;
13;206;45;53;34;129;39;
14;199;130;35;36;117;83;
14;245;127;46;46;145;86;
14;171;102;40;55;105;78;
14;227;43;37;23;132;33;
15;205;133;24;27;114;80;
15;245;124;41;39;143;81;
15;169;102;41;51;105;76;
15;190;53;35;29;112;41;
15;229;44;31;27;130;35;
16;201;124;27;32;114;78;
16;251;122;32;36;141;79;
16;165;121;27;32;96;76;
16;188;100;19;26;103;63;
16;34;88;21;20;27;54;
16;192;40;93;42;142;41;
17;239;123;36;41;137;82;
17;197;120;30;34;113;77;
17;166;101;39;44;102;72;
17;190;53;25;28;107;40;
18;237;119;38;41;137;80;
18;200;119;22;30;111;74;
18;166;117;25;27;95;72;
18;33;86;25;24;29;55;
18;195;58;34;17;114;37;
18;235;44;27;17;131;30;
19;231;116;36;41;133;78;
19;166;114;54;32;110;73;
19;185;94;19;25;102;59;
19;234;44;33;23;133;33;
20;229;122;36;30;132;76;
20;165;100;53;44;109;72;
20;195;42;70;38;132;40;
21;167;112;19;24;93;68;
21;227;111;40;36;133;73;
21;188;52;27;30;107;41;
21;226;44;43;27;134;35;
22;187;118;23;16;105;67;
22;245;111;15;24;130;67;
22;182;96;22;18;102;57;
22;175;66;21;22;98;44;
22;197;53;17;24;107;38;
22;236;42;31;29;133;35;
23;203;52;20;21;111;36;
23;228;44;41;23;134;33;
24;222;111;18;26;120;68;
24;167;97;30;30;98;63;
24;7;90;28;26;17;58;
24;235;41;48;29;141;35;
25;239;104;18;25;128;64;
25;166;86;47;39;106;62;
25;35;86;22;21;28;53;
25;201;49;37;25;119;37;
26;258;42;32;16;145;29;
27;1;102;27;18;14;60;
27;185;85;24;27;104;56;
27;180;49;47;32;113;40;
27;244;41;38;19;141;30;
28;183;97;26;25;104;61;
28;1;95;20;31;10;63;
28;204;50;22;19;113;34;
28;240;44;28;24;134;34;
29;1;92;19;31;10;61;
29;184;86;19;30;101;58;
29;184;50;42;28;113;39;
30;296;163;23;39;159;101;
30;1;93;19;33;10;63;
31;290;158;29;44;159;101;
31;183;95;26;20;104;57;
31;247;43;29;14;138;28;
32;291;155;28;35;159;95;
32;1;97;21;32;11;64;
32;183;94;45;30;114;62;
32;242;45;31;19;136;32;
33;284;156;35;28;159;92;
33;189;65;18;25;103;45;
33;207;49;46;19;126;34;
34;299;197;20;36;159;116;
34;281;151;34;30;157;90;
34;1;101;27;31;14;66;
34;193;47;43;34;118;40;
35;291;185;28;54;159;119;
35;277;147;32;27;154;87;
35;215;46;47;21;131;33;
36;283;184;36;54;159;119;
36;273;141;31;29;152;85;
36;185;76;19;29;102;52;
37;277;174;42;54;159;114;
37;262;140;38;28;150;84;
37;215;42;67;35;141;38;
38;270;172;47;49;158;110;
38;258;137;36;26;147;81;
38;218;46;41;26;129;36;
39;265;164;44;52;154;108;
39;254;132;36;26;145;79;
39;187;73;16;28;101;50;
40;259;157;40;50;149;103;
40;257;131;28;24;142;77;
40;184;57;25;42;104;49;
40;222;47;20;20;121;33;
41;255;154;37;43;146;98;
41;255;127;25;24;140;75;
42;251;150;37;41;144;95;
42;253;125;26;23;139;74;
42;184;54;33;41;108;47;
42;220;45;44;31;132;38;
43;241;146;39;41;140;93;
43;248;119;27;26;137;72;
43;170;56;49;39;109;47;
43;222;42;60;24;141;33;
44;240;119;37;61;138;90;
44;193;52;26;30;109;41;
44;224;43;39;28;131;35;
45;243;138;29;36;136;87;
45;227;45;30;20;128;32;
46;241;117;26;53;133;85;
46;190;43;71;40;130;41;
47;236;111;30;55;133;83;
47;181;43;93;46;137;44;
48;230;112;31;50;130;81;
48;174;68;25;18;99;43;
48;198;52;26;23;112;37;
48;229;45;37;28;133;36;
49;225;109;37;50;131;79;
49;199;53;24;41;111;47;
49;233;44;36;22;134;33;
49;268;38;28;15;148;26;
50;219;218;36;21;127;119;
50;228;122;25;31;126;76;
51;203;209;52;30;127;119;
51;227;105;28;45;127;75;
51;213;69;26;22;119;45;
51;177;64;34;18;105;41;
51;235;43;35;24;135;33;
