1;63;8;20;20;73;18;
9;100;87;26;26;113;100;
10;98;82;24;24;110;94;
12;71;42;21;21;81;52;
15;82;62;21;21;92;72;
15;139;62;22;22;150;73;
17;48;3;21;21;58;13;
17;78;55;21;21;88;65;
17;132;56;21;21;142;66;
19;75;48;22;22;86;59;
20;73;46;21;21;83;56;
21;64;21;21;21;74;31;
21;104;51;21;21;114;61;
22;119;43;21;21;129;53;
22;64;19;22;22;75;30;
23;71;38;20;20;81;48;
25;94;40;21;21;104;50;
26;93;38;21;21;103;48;
28;111;30;20;20;121;40;
31;85;27;23;23;96;38;
32;64;5;21;21;74;15;
34;105;20;22;22;116;31;
42;47;5;21;21;57;15;
46;120;41;23;23;131;52;
48;117;38;22;22;128;49;
